,1 Accurate Long Balls,1 Corners,1 Dribbles Attempted,1 Dribbles Succeeded,1 Fouls Conceded,1 Goals,1 Interceptions,1 Long Balls,1 Offsides,1 Pass Completion,1 Possession,1 Red Cards,1 Shots,1 Shots Blocked,1 Shots woodwork,1 Tackles Attempted,1 Throws,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Yellow Cards,2 Accurate Long Balls,2 Corners,2 Dribbles Attempted,2 Dribbles Succeeded,2 Fouls Conceded,2 Goals,2 Interceptions,2 Long Balls,2 Offsides,2 Pass Completion,2 Possession,2 Red Cards,2 Shots,2 Shots Blocked,2 Shots woodwork,2 Tackles Attempted,2 Throws,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Yellow Cards,winner,fh winner
0,17,2,5,2,2,0,3,41,1,0.8,0.624,0,2,0,0,5,16,290,0,0.07,0,8,6,1,0,6,1,8,28,1,0.651,0.376,0,8,3,0,9,12,175,2,0.876,0,2,2
1,23,2,8,6,2,0,5,35,3,0.903,0.658,0,7,2,0,7,8,371,1,0.359,0,15,2,9,5,10,0,2,31,1,0.746,0.342,0,9,6,0,8,9,193,1,0.683,0,1,0
2,19,1,8,7,12,1,6,33,0,0.793,0.468,0,8,4,0,8,11,256,4,0.209,1,15,0,11,7,13,1,3,26,0,0.89,0.532,0,5,2,0,6,8,291,1,0.457,2,2,0
3,16,1,9,5,8,1,4,30,0,0.826,0.496,0,5,2,0,10,12,299,2,0.885,1,8,1,14,11,7,0,1,27,1,0.803,0.504,0,5,0,0,8,19,304,3,0.162,0,0,1
4,9,3,4,1,15,0,1,21,0,0.784,0.32,0,6,1,0,11,5,176,1,0.28,2,21,3,11,7,4,1,1,29,0,0.898,0.68,0,7,0,0,7,8,374,4,0.806,0,2,2
5,31,2,11,6,10,0,1,46,0,0.803,0.62,0,2,0,0,5,12,309,1,0.156,1,9,3,6,6,10,1,2,36,2,0.672,0.38,0,5,1,0,13,8,189,1,0.398,1,0,2
6,10,5,10,5,6,0,2,33,0,0.687,0.366,0,7,1,0,4,3,198,5,0.326,0,22,3,2,0,4,0,2,41,2,0.778,0.634,0,7,2,0,11,17,343,3,0.889,1,2,0
7,12,8,11,7,6,0,5,24,0,0.838,0.596,0,15,5,0,9,9,302,2,0.937,1,13,0,20,17,9,0,3,31,1,0.761,0.404,0,2,0,0,11,8,205,1,0.083,0,0,0
8,25,2,12,7,8,0,1,44,0,0.847,0.667,0,10,3,0,10,10,327,1,0.43,1,14,0,12,7,6,1,5,33,0,0.712,0.333,0,7,1,0,7,11,163,4,0.724,1,2,2
9,16,1,21,17,2,1,3,22,0,0.894,0.688,0,10,3,0,7,15,433,3,1.006,0,18,0,4,3,5,1,8,44,4,0.709,0.312,0,2,1,0,15,10,196,1,0.335,0,1,0
10,13,3,6,4,4,1,5,32,0,0.846,0.543,0,4,1,0,9,15,267,1,0.187,1,20,2,7,4,5,0,1,38,2,0.782,0.457,0,8,1,0,13,16,225,1,0.41,0,1,1
11,13,1,7,3,10,1,0,34,0,0.768,0.563,0,3,1,0,12,10,237,2,0.366,1,17,1,6,2,15,0,2,46,2,0.641,0.437,0,5,1,0,14,15,184,1,0.293,0,1,1
12,19,2,12,10,8,3,5,44,4,0.77,0.506,0,7,3,0,13,13,256,3,1.253,0,20,1,12,4,11,0,5,40,0,0.776,0.494,0,5,1,0,11,16,250,1,0.195,0,0,1
13,22,1,9,5,7,0,7,51,8,0.672,0.517,0,1,0,0,9,21,253,0,0.031,0,15,2,13,6,7,1,1,42,2,0.614,0.483,0,2,1,0,8,13,236,1,0.097,1,2,2
14,10,0,4,2,3,0,9,28,1,0.739,0.462,0,4,1,0,14,14,253,2,0.142,0,13,2,10,3,4,0,13,25,0,0.82,0.538,0,7,2,0,6,6,295,1,0.467,0,2,0
15,9,4,9,8,11,0,3,20,0,0.672,0.329,0,8,5,0,8,7,137,2,0.454,0,17,4,8,5,6,1,8,28,0,0.871,0.671,0,6,0,0,6,6,279,3,1.026,0,2,2
16,8,2,1,1,8,1,6,12,0,0.85,0.444,0,5,2,0,6,4,260,1,0.677,0,30,1,17,10,4,0,8,42,0,0.871,0.556,0,5,1,0,5,12,325,1,0.199,0,1,1
17,17,7,4,1,9,0,5,35,0,0.835,0.622,0,9,0,0,9,10,334,3,0.463,1,17,2,8,2,10,0,6,37,0,0.783,0.378,0,3,0,0,7,2,203,0,0.086,2,1,0
18,18,5,9,7,8,0,10,39,0,0.743,0.415,0,3,2,0,5,8,214,0,0.249,0,13,4,10,8,6,1,4,30,1,0.768,0.585,0,3,1,0,5,7,302,1,0.365,0,2,2
19,19,2,12,7,6,1,14,29,0,0.805,0.468,0,9,1,0,14,10,251,4,1.699,1,19,1,13,9,5,0,5,35,0,0.804,0.532,0,4,1,0,10,15,285,1,0.187,0,1,1
20,22,1,4,2,4,0,5,35,1,0.813,0.545,0,3,1,0,4,5,289,0,0.295,1,21,2,9,6,6,1,10,44,1,0.788,0.455,0,4,2,0,5,6,241,0,0.202,0,2,2
21,14,5,5,3,10,0,3,32,2,0.799,0.645,0,10,6,0,10,13,293,2,0.937,0,17,1,7,4,14,0,4,36,0,0.72,0.355,0,1,1,0,7,8,161,0,0.048,1,1,0
22,19,0,5,2,4,2,3,31,1,0.846,0.324,0,4,2,0,6,4,188,2,0.893,1,12,5,8,5,4,1,4,25,0,0.916,0.676,0,8,2,1,6,7,393,2,0.683,1,0,1
23,12,4,8,4,10,0,2,25,1,0.683,0.37,0,4,1,0,13,2,183,0,0.125,1,14,1,18,9,5,1,2,25,0,0.827,0.63,0,6,2,0,5,10,312,3,0.696,0,2,2
24,33,2,4,3,7,0,2,42,1,0.886,0.753,0,6,4,0,7,8,368,1,0.411,0,13,1,8,3,4,1,4,27,0,0.744,0.247,0,4,1,0,4,8,121,3,0.582,0,1,2
25,18,1,4,4,9,1,8,27,0,0.743,0.319,0,10,0,0,7,12,148,3,0.762,3,24,3,11,6,6,0,4,40,1,0.867,0.681,0,8,3,0,7,6,316,1,0.573,0,2,1
26,13,2,8,6,6,1,3,27,0,0.791,0.409,0,4,1,0,9,4,177,1,0.836,0,27,3,12,5,2,1,3,37,1,0.867,0.591,0,13,3,1,6,12,256,5,2.124,1,2,0
27,10,0,8,5,8,1,2,14,0,0.814,0.373,0,3,0,1,11,3,177,1,0.904,0,12,3,4,1,6,1,5,25,0,0.862,0.627,0,2,1,0,11,9,298,1,0.034,2,1,0
28,9,5,2,1,7,0,3,14,1,0.866,0.543,0,10,4,1,5,5,261,3,1.149,0,20,3,8,6,7,2,2,27,0,0.855,0.457,0,7,2,0,5,9,220,3,0.251,0,2,2
29,16,1,7,6,3,1,2,35,0,0.777,0.571,0,9,3,0,5,12,269,3,1.106,0,16,2,4,2,8,1,3,34,0,0.723,0.429,0,4,1,0,2,10,202,2,0.459,0,0,0
30,15,2,8,5,7,0,2,33,1,0.757,0.638,0,1,0,0,6,13,272,0,0.014,1,14,4,8,7,7,0,4,40,0,0.597,0.362,0,6,1,0,8,12,154,2,0.392,0,1,0
31,13,3,7,5,11,1,7,26,1,0.799,0.539,0,6,2,0,5,6,268,0,0.407,1,13,1,7,4,5,0,4,35,0,0.782,0.461,0,6,4,0,4,5,229,0,0.228,0,1,1
32,20,1,7,4,6,0,2,30,1,0.892,0.676,0,7,1,0,9,9,378,1,0.17,0,21,0,5,4,12,0,4,40,1,0.751,0.324,0,3,1,0,10,7,181,0,0.123,0,1,0
33,15,2,5,2,8,0,3,22,0,0.863,0.631,0,8,2,0,6,8,293,5,0.466,0,12,1,17,11,9,1,8,24,0,0.778,0.369,0,9,2,0,10,9,171,4,0.632,0,2,2
34,18,2,11,8,5,0,2,28,2,0.874,0.568,0,6,1,0,2,12,302,1,0.684,1,16,1,2,2,5,1,4,25,0,0.822,0.432,0,3,0,0,14,8,230,2,0.108,1,2,2
35,13,0,7,4,8,0,10,33,1,0.755,0.436,0,4,0,0,5,8,188,2,0.088,0,12,1,5,2,10,0,3,29,1,0.77,0.564,0,1,0,0,6,13,243,1,0.062,1,2,0
36,13,0,8,5,8,1,8,32,2,0.669,0.279,0,5,2,0,9,10,145,1,0.283,0,18,2,5,3,6,0,4,36,0,0.837,0.721,0,9,3,0,8,10,375,2,0.682,1,2,1
37,22,4,3,3,5,1,3,36,0,0.83,0.664,0,7,3,0,7,6,336,1,0.8,0,13,1,7,5,7,0,8,26,0,0.735,0.336,0,7,1,1,1,8,170,4,0.369,1,0,1
38,28,3,11,4,7,0,3,38,0,0.826,0.554,0,5,2,0,8,10,304,3,0.208,0,18,1,3,2,11,0,7,38,0,0.804,0.446,0,3,0,0,11,5,245,1,0.076,1,1,0
39,17,1,2,1,10,2,1,34,0,0.812,0.564,0,4,1,0,6,11,261,2,0.516,0,18,2,3,2,9,0,3,32,2,0.752,0.436,1,1,0,0,2,6,202,1,0.065,1,1,1
40,10,3,10,6,6,0,6,18,0,0.805,0.533,0,9,3,0,14,10,226,3,0.774,1,19,3,20,14,11,0,2,34,0,0.818,0.467,0,5,3,0,8,6,198,0,0.218,1,1,0
41,10,1,3,2,4,1,6,22,0,0.837,0.454,0,5,0,0,6,9,233,3,0.63,1,14,4,7,4,4,1,2,31,0,0.821,0.546,0,7,4,0,6,7,280,1,1.03,0,0,0
42,12,3,5,3,11,0,7,28,0,0.716,0.396,0,5,0,0,8,10,183,2,0.332,1,19,2,8,4,5,0,2,36,2,0.803,0.604,0,4,2,0,6,7,279,0,0.197,0,2,0
43,21,4,13,11,7,0,2,35,1,0.839,0.556,0,12,5,0,8,10,322,1,1.226,0,18,0,5,2,4,0,8,36,1,0.817,0.444,0,4,1,0,3,6,257,1,0.099,1,1,0
44,22,2,5,3,8,0,5,39,2,0.78,0.569,0,2,1,0,11,11,273,0,0.366,1,18,1,9,7,11,0,6,31,1,0.739,0.431,0,4,1,0,4,10,207,1,0.338,1,2,0
45,13,2,8,5,11,0,8,32,0,0.674,0.374,0,6,0,0,7,4,172,4,0.427,1,13,2,12,10,10,1,6,28,0,0.785,0.626,0,6,2,0,8,16,288,1,0.27,1,2,2
46,13,1,5,3,9,2,4,27,1,0.679,0.344,0,1,0,0,7,13,131,1,0.76,1,25,4,7,3,7,1,3,33,0,0.824,0.656,0,7,2,0,9,9,250,1,0.493,0,1,1
47,12,4,4,2,6,0,2,32,0,0.668,0.354,0,8,2,0,10,4,184,3,0.531,0,14,2,9,6,7,0,4,29,0,0.881,0.646,0,4,2,0,4,11,336,0,0.085,1,2,0
48,15,6,4,2,3,1,1,20,0,0.9,0.8,0,12,3,0,3,2,399,4,0.507,0,13,0,5,3,9,1,12,31,0,0.64,0.2,0,8,1,0,11,5,100,2,0.96,0,0,0
49,24,0,14,11,4,1,2,36,0,0.891,0.73,0,3,1,0,6,9,440,2,0.2,1,17,3,8,3,10,1,5,28,1,0.718,0.27,0,5,2,0,6,16,163,1,0.945,0,0,0
50,8,0,3,2,7,3,12,19,0,0.816,0.53,0,10,2,0,8,8,239,7,2.122,0,11,1,3,2,7,1,6,24,2,0.783,0.47,0,6,1,0,7,10,212,2,0.371,1,1,1
51,13,2,8,5,7,0,6,24,2,0.769,0.429,0,8,2,0,4,9,182,2,0.95,1,11,4,5,3,10,0,4,26,1,0.81,0.571,0,6,2,0,7,5,242,1,0.28,0,2,0
52,23,4,14,10,4,1,6,30,0,0.9,0.766,0,7,1,0,7,7,380,2,1.306,0,12,0,5,4,9,1,5,21,0,0.784,0.234,0,3,0,0,9,5,116,2,0.819,3,0,0
53,12,2,16,13,4,1,11,21,0,0.867,0.497,0,5,1,0,6,6,285,1,0.921,0,13,1,13,7,5,0,7,34,0,0.823,0.503,0,3,1,0,9,8,288,0,0.29,0,0,1
54,11,1,10,7,8,0,12,29,0,0.709,0.376,0,4,1,0,6,13,182,1,0.142,1,18,0,12,6,9,1,5,32,2,0.825,0.624,0,5,1,1,7,16,302,2,0.608,0,2,2
55,12,2,10,5,8,1,2,29,0,0.677,0.369,0,6,1,0,8,8,158,2,0.375,0,17,2,12,11,8,0,7,24,1,0.863,0.631,0,8,4,0,7,5,270,1,0.334,0,1,1
56,11,3,2,1,7,0,3,24,0,0.791,0.458,0,5,0,0,6,11,244,3,0.504,0,24,4,10,7,5,0,3,40,0,0.82,0.542,0,5,2,0,9,11,289,1,0.197,0,2,0
57,12,3,18,10,10,0,2,34,0,0.839,0.663,0,9,4,0,6,11,267,2,0.884,1,4,1,5,3,6,0,4,28,0,0.544,0.337,0,8,2,0,12,17,136,2,0.594,1,2,0
