id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1250,Mohamed Salah,20,1786,16,15.608175069093704,9,6.22314802929759,80,40,1,0,F,Liverpool,14,13.32466857135296,22.21259716153145,7.717494197189808
6854,Diogo Jota,20,1487,10,12.501362554728985,1,3.721017401665449,58,23,1,0,F S,Liverpool,10,12.501362554728985,18.975039415061477,5.526300131343305
755,Jamie Vardy,16,1325,9,6.063936270773411,1,1.183594960719347,36,14,2,0,F S,Leicester,9,6.063936270773411,7.677956260740757,1.25945988856256
453,Son Heung-Min,17,1499,8,6.958429858088493,3,3.3822450675070286,44,33,0,0,F M,Tottenham,8,6.958429858088493,11.58835968375206,3.5982557721436024
531,Michail Antonio,22,1932,8,9.544685870409012,6,4.611624114215374,57,36,4,1,F S,West Ham,8,8.783516973257065,16.199459329247475,6.068427070975304
838,Sadio Mané,20,1713,8,10.503094624727964,1,3.385883605107665,61,20,2,0,F S,Liverpool,8,10.503094624727964,18.285370528697968,7.227718977257609
2371,Cristiano Ronaldo,18,1463,8,10.273448452353476,3,1.7617013975977898,63,14,4,0,F S,Manchester United,6,8.751110836863518,13.6921858638525,4.691224986687303
7230,Emile Smith-Rowe,18,1208,8,3.4808948393911123,2,2.218204578384757,25,20,0,0,M S,Arsenal,8,3.4808948393911123,6.609001308679581,2.395720422267914
8026,Raphinha,19,1632,8,5.512669570744038,2,4.182256747037172,58,38,4,0,F M,Leeds,5,3.229163026437164,8.478245869278908,3.452100803144276
9301,Emmanuel Dennis,19,1487,8,3.653402281925082,5,3.142170142382384,37,21,6,1,F M S,Watford,8,3.653402281925082,7.535764846019447,1.769739936105907
618,Raheem Sterling,19,1232,7,8.345070468261838,1,3.1064493879675865,37,25,0,0,F M S,Manchester City,5,6.822732778266072,12.010247886180878,4.739501483738422
1228,Bruno Fernandes,21,1786,7,4.257174642756581,5,5.958814577199519,45,56,6,0,M S,Manchester United,7,3.496005805209279,14.356560230255129,6.984495230019093
3621,Neal Maupay,19,1405,7,6.036237042397261,1,1.5493844375014303,36,15,4,0,F S,Brighton,6,5.275068175047636,8.139676794409752,2.082597767934203
3635,Bernardo Silva,22,1894,7,5.351856712251902,1,4.846925700083375,27,36,5,0,F M,Manchester City,7,5.351856712251902,17.709022596478462,9.35109855607152
7768,Mason Mount,20,1343,7,5.075439341366291,5,4.243551257997751,39,30,2,0,F M S,Chelsea,6,4.314270563423634,9.409818977117538,3.449381936341524
9040,Conor Gallagher,18,1582,7,5.880581872537732,3,3.764075346291065,35,32,4,0,M,Crystal Palace,7,5.880581872537732,10.82157865166664,3.720407783985138
447,Kevin De Bruyne,17,1098,6,2.7044553328305483,2,4.973592057824135,44,41,0,0,M S,Manchester City,6,2.7044553328305483,8.742497932165861,4.561790341511369
468,Callum Wilson,15,1201,6,5.126593586988747,0,0.4431503433734178,27,8,4,0,F S,Newcastle United,5,4.365424727089703,3.799769224599004,0.6096092024818063
750,Riyad Mahrez,16,823,6,5.302895089611411,4,3.1927004428580403,33,27,0,0,F M S,Manchester City,4,3.780557347461581,9.497826043516396,3.99832377396524
843,James Ward-Prowse,20,1782,6,3.1792855728417635,2,2.420349944382906,29,36,3,1,M,Southampton,3,0.8957790341228247,5.741810668259859,4.702713588252664
998,Ivan Toney,21,1890,6,5.148285511881113,2,4.162576383911073,50,24,5,0,F,Brentford,4,3.625984642654658,6.587357798591256,1.265816387720406
1389,Jorginho,19,1454,6,5.11241952329874,1,2.0911897979676723,13,14,3,0,M S,Chelsea,0,0.5454064756631851,10.49037229269743,9.699554778635502
1776,Jarrod Bowen,23,1962,6,9.44491384923458,7,4.293524695560336,57,29,2,0,F M S,West Ham,6,9.44491384923458,15.379292089492084,3.9981503365561366
3278,Maxwel Cornet,10,623,6,1.617438644170761,0,0.5860527213662863,17,5,2,0,F M S,Burnley,6,1.617438644170761,3.1468030139803886,1.623943064361811
6818,James Maddison,19,1277,6,3.585957301780581,3,2.565457805991173,39,20,2,0,F M S,Leicester,6,3.585957301780581,7.691667962819338,3.0046415999531746
7322,Bukayo Saka,20,1508,6,5.060035768896341,4,4.158592641353607,42,32,3,0,M S,Arsenal,6,5.060035768896341,10.8730106074363,4.311633080244064
101,Allan Saint-Maximin,21,1812,5,3.8022785298526287,3,3.5722819697111845,43,32,3,0,F M S,Newcastle United,5,3.8022785298526287,9.53871571458876,2.3744339984841645
465,Joshua King,18,1448,5,6.763522081077099,3,2.849823854863644,38,26,3,0,F M S,Watford,4,6.002353273332119,8.228177199140191,0.8625280661508441
