,1 Corners,1 Fouls Committed,1 Fouls Wons,1 Goals,1 Offsides,1 Pass Completion,1 Possesion,1 Red Cards,1 Shot Attempts,1 Shots Blocked,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Under Pressure,1 Yellow Cards,2 Corners,2 Fouls Committed,2 Fouls Wons,2 Goals,2 Offsides,2 Pass Completion,2 Possesion,2 Red Cards,2 Shot Attempts,2 Shots Blocked,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Under Pressure,2 Yellow Cards,winner,fh winner
0,2,1,3,0,1,0.8,0.624,0,2,0,290,0,0.06963867,0.279,0,6,2,0,1,1,0.651,0.376,0,8,3,175,1,0.87634993,0.171,0,2,2
1,2,0,3,0,3,0.903,0.658,0,7,2,371,1,0.358803596,0.078,0,2,0,0,0,1,0.746,0.342,0,9,6,193,1,0.682698615,0.104,0,1,0
2,1,1,6,1,0,0.793,0.468,0,8,4,256,3,0.209008724,0.07,1,0,1,5,1,0,0.89,0.532,0,5,2,291,0,0.45653727999999993,0.096,2,2,0
3,1,2,3,1,0,0.826,0.496,0,5,2,299,1,0.8845719969999999,0.11,1,1,1,5,0,1,0.803,0.504,0,5,0,304,3,0.16237866299999998,0.105,0,1,1
4,3,1,1,0,0,0.784,0.32,0,6,1,176,1,0.27992,0.125,2,3,1,1,1,0,0.898,0.68,0,7,0,374,3,0.805794097,0.059,0,2,2
5,2,2,5,0,0,0.803,0.62,0,2,0,309,1,0.15581047,0.061,1,3,1,5,1,2,0.672,0.38,0,5,1,189,0,0.39785329999999997,0.074,1,1,2
6,5,1,3,0,0,0.687,0.366,0,7,1,198,5,0.325770237,0.081,0,3,2,3,0,2,0.778,0.634,0,7,2,343,3,0.8886058990000001,0.122,1,2,0
7,8,2,2,0,0,0.838,0.596,0,15,5,302,2,0.936912151,0.063,1,0,0,3,0,1,0.761,0.404,0,2,0,205,1,0.08311545000000001,0.18,0,2,0
8,2,0,2,0,0,0.847,0.667,0,10,3,327,1,0.4304467919999999,0.11,1,0,0,2,1,0,0.712,0.333,0,7,1,163,3,0.723685665,0.123,1,2,2
9,1,0,2,1,0,0.894,0.688,0,10,3,433,2,1.006014839,0.053,0,0,0,1,1,4,0.709,0.312,0,2,1,196,0,0.33489556,0.194,0,1,0
10,3,1,3,1,0,0.846,0.543,0,4,1,267,0,0.186639832,0.045,1,2,2,2,0,2,0.782,0.457,0,8,1,225,1,0.41044105799999997,0.191,0,1,1
11,1,3,8,1,0,0.768,0.563,0,3,1,237,1,0.36607321600000003,0.219,1,1,1,6,0,2,0.641,0.437,0,5,1,184,1,0.29256782,0.147,0,1,1
12,2,1,7,3,4,0.77,0.506,0,7,3,256,0,1.2525995779999999,0.156,0,1,5,2,0,0,0.776,0.494,0,5,1,250,1,0.19486548399999998,0.096,0,2,1
13,1,0,3,0,8,0.672,0.517,0,1,0,253,0,0.030981608,0.126,0,2,2,1,1,2,0.614,0.483,0,2,1,236,0,0.097324871,0.11,1,2,2
14,0,1,1,0,1,0.739,0.462,0,4,1,253,2,0.141666628,0.126,0,2,0,1,0,0,0.82,0.538,0,7,2,295,1,0.4674615,0.207,0,2,0
15,4,0,4,0,0,0.672,0.329,0,8,5,137,2,0.453801451,0.255,0,4,1,1,1,0,0.871,0.671,0,6,0,279,2,1.026443039,0.258,0,2,2
16,2,1,2,1,0,0.85,0.444,0,5,2,260,0,0.677287907,0.185,0,1,0,3,0,0,0.871,0.556,0,5,1,325,1,0.198787139,0.308,0,1,1
17,7,0,4,0,0,0.835,0.622,0,9,0,334,3,0.462759418,0.26,1,2,2,2,0,0,0.783,0.378,0,3,0,203,0,0.085754145,0.246,2,1,0
18,5,1,2,0,0,0.743,0.415,0,3,2,214,0,0.24897766600000001,0.276,0,4,1,3,1,1,0.768,0.585,0,3,1,302,0,0.364557464,0.119,0,2,2
19,2,0,2,1,0,0.805,0.468,0,9,1,251,3,1.699469274,0.151,1,1,0,0,0,0,0.804,0.532,0,4,1,285,1,0.186990556,0.312,0,1,1
20,1,0,2,0,1,0.813,0.545,0,3,1,289,0,0.29462083,0.263,1,2,2,1,0,1,0.788,0.455,0,4,2,241,0,0.201810545,0.141,0,0,0
21,5,1,6,0,2,0.799,0.645,0,10,6,293,2,0.936875424,0.195,0,1,1,4,0,0,0.72,0.355,0,1,1,161,0,0.04832166,0.211,1,1,0
22,0,0,3,2,1,0.846,0.324,0,4,2,188,0,0.893119487,0.372,1,5,1,1,1,0,0.916,0.676,0,8,2,393,2,0.682793353,0.31,1,0,1
23,4,1,1,0,1,0.683,0.37,0,4,1,183,0,0.125048257,0.071,1,1,0,3,1,0,0.827,0.63,0,6,2,312,2,0.695924236,0.215,0,2,2
24,2,0,1,0,1,0.886,0.753,0,6,4,368,1,0.410509066,0.087,0,1,0,3,1,0,0.744,0.247,0,4,1,121,2,0.582047668,0.38,0,1,2
25,1,4,1,1,0,0.743,0.319,0,10,0,148,2,0.7622629310000001,0.304,3,3,0,5,0,1,0.867,0.681,0,8,3,316,1,0.5727237187,0.256,0,2,1
26,2,1,2,1,0,0.791,0.409,0,4,1,177,0,0.835610523,0.254,0,3,1,1,1,1,0.867,0.591,0,13,3,256,5,2.1242957262999997,0.223,1,2,0
27,0,1,1,1,0,0.814,0.373,0,3,0,177,1,0.904173546,0.107,0,3,1,4,1,0,0.862,0.627,0,2,1,298,0,0.033743684999999995,0.188,2,1,0
28,5,2,3,0,1,0.866,0.543,0,10,4,261,4,1.1489225500000002,0.149,0,3,1,3,1,0,0.855,0.457,0,7,2,220,2,0.25147695600000003,0.268,0,0,2
29,1,2,2,1,0,0.777,0.571,0,9,3,269,2,1.105617892,0.19,0,2,1,2,1,0,0.723,0.429,0,4,1,202,1,0.45874164,0.173,0,1,0
30,2,1,4,0,1,0.757,0.638,0,1,0,272,0,0.013531805,0.272,1,4,2,4,0,0,0.597,0.362,0,6,1,154,2,0.392398587,0.253,0,1,0
31,3,1,2,0,1,0.799,0.539,0,6,2,268,0,0.40679709999999997,0.093,1,1,2,2,0,0,0.782,0.461,0,6,4,229,0,0.228176026,0.157,0,1,0
32,1,0,3,0,1,0.892,0.676,0,7,1,378,1,0.17015557,0.119,0,0,3,0,0,1,0.751,0.324,0,3,1,181,0,0.12274501,0.21,0,1,0
33,2,2,4,0,0,0.863,0.631,0,8,2,293,5,0.4663346165,0.222,0,1,1,1,1,0,0.778,0.369,0,9,2,171,3,0.631606313,0.246,0,2,2
34,2,0,0,0,2,0.874,0.568,0,6,1,302,1,0.684228402,0.225,1,1,0,1,1,0,0.822,0.432,0,3,0,230,1,0.108410296,0.17,1,2,2
35,0,0,4,0,1,0.755,0.436,0,4,0,188,2,0.087711067,0.117,0,1,1,3,0,1,0.77,0.564,0,1,0,243,1,0.06201031,0.181,1,2,0
36,0,0,1,0,2,0.669,0.279,0,5,2,145,1,0.28325664549999996,0.324,0,2,1,2,0,0,0.837,0.721,0,9,3,375,2,0.681774321,0.197,1,2,0
37,4,1,3,1,0,0.83,0.664,0,7,3,336,0,0.8002177119999999,0.149,0,1,3,1,0,0,0.735,0.336,0,7,1,170,5,0.368592464,0.259,1,1,1
38,3,1,5,0,0,0.826,0.554,0,5,2,304,3,0.207629471,0.135,0,1,1,3,0,0,0.804,0.446,0,3,0,245,1,0.075998953,0.265,1,0,0
39,1,1,5,1,0,0.812,0.564,0,4,1,261,1,0.516332085,0.218,0,2,1,3,0,2,0.752,0.436,1,1,0,202,1,0.06471651,0.292,1,1,1
40,3,1,3,0,0,0.805,0.533,0,9,3,226,3,0.7735479460000001,0.23,1,3,3,3,0,0,0.818,0.467,0,5,3,198,0,0.217884528,0.197,1,1,0
41,1,1,0,1,0,0.837,0.454,0,5,0,233,2,0.629523538,0.258,1,4,0,2,1,0,0.821,0.546,0,7,4,280,0,1.03027698,0.189,0,0,0
42,3,1,3,0,0,0.716,0.396,0,5,0,183,2,0.33178601500000005,0.169,1,2,0,4,0,2,0.803,0.604,0,4,2,279,0,0.19712290500000001,0.118,0,2,0
43,4,1,1,0,1,0.839,0.556,0,12,5,322,1,1.2261078080000003,0.127,0,0,1,3,0,1,0.817,0.444,0,4,1,257,1,0.09925624699999999,0.214,1,1,0
44,2,1,3,0,2,0.78,0.569,0,2,1,273,0,0.366258368,0.176,1,1,1,3,0,1,0.739,0.431,0,4,1,207,1,0.337684274,0.353,1,2,0
45,2,3,4,0,0,0.674,0.374,0,6,0,172,4,0.42747718749999997,0.18,1,2,1,8,1,0,0.785,0.626,0,6,2,288,0,0.2702760865,0.25,1,2,2
46,1,1,0,1,1,0.679,0.344,0,1,0,131,0,0.76,0.198,1,4,1,4,1,0,0.824,0.656,0,7,2,250,0,0.492838518,0.212,0,1,0
47,4,2,4,0,0,0.668,0.354,0,8,2,184,3,0.530869202,0.353,0,2,2,3,0,0,0.881,0.646,0,4,2,336,0,0.084624347,0.155,1,2,0
48,6,1,4,1,0,0.9,0.8,0,12,3,399,3,0.5069619714999999,0.09,0,0,2,1,1,0,0.64,0.2,0,8,1,100,1,0.9596174469999998,0.16,0,0,0
49,0,2,6,0,0,0.891,0.73,0,3,1,440,2,0.20020163800000002,0.205,1,3,3,3,1,1,0.718,0.27,0,5,2,163,0,0.944938366,0.325,0,2,2
50,0,2,1,3,0,0.816,0.53,0,10,2,239,4,2.121766189,0.218,0,1,1,3,1,2,0.783,0.47,0,6,1,212,1,0.371252649,0.212,1,1,1
51,2,0,4,0,2,0.769,0.429,0,8,2,182,2,0.949623917,0.198,1,4,4,3,0,1,0.81,0.571,0,6,2,242,1,0.280060215,0.157,0,2,0
52,4,1,2,1,0,0.9,0.766,0,7,1,380,1,1.306364679,0.287,0,0,0,2,1,0,0.784,0.234,0,3,0,116,1,0.819299183,0.388,3,0,0
53,2,0,2,1,0,0.867,0.497,0,5,1,285,0,0.920982448,0.242,0,1,2,0,0,0,0.823,0.503,0,3,1,288,0,0.290201596,0.215,0,0,1
54,1,2,4,0,0,0.709,0.376,0,4,1,182,1,0.14229830000000002,0.159,1,0,1,3,1,2,0.825,0.624,0,5,1,302,2,0.6080191939999999,0.179,0,2,2
55,2,1,2,1,0,0.677,0.369,0,6,1,158,1,0.37450010399999994,0.171,0,2,1,3,0,1,0.863,0.631,0,8,4,270,1,0.333688792,0.233,0,1,1
56,3,0,3,0,0,0.791,0.458,0,5,0,244,3,0.504217177,0.221,0,4,0,7,0,0,0.82,0.542,0,5,2,289,1,0.196561485,0.294,0,2,0
57,3,0,1,0,0,0.839,0.663,0,9,4,267,2,0.884485568,0.255,1,1,1,5,0,0,0.544,0.337,0,8,2,136,2,0.593603094,0.382,1,0,0
58,1,0,3,0,0,0.514,0.211,0,2,0,111,0,0.033819208,0.198,0,2,1,1,0,0,0.872,0.789,0,10,5,415,1,0.6184847379999999,0.248,0,2,0
59,3,1,3,2,3,0.649,0.381,0,5,3,185,0,0.499510854,0.368,0,2,2,4,0,0,0.787,0.619,0,4,2,300,0,0.234148338,0.137,0,1,1
60,3,0,3,1,0,0.722,0.457,0,5,2,212,1,0.5600659379999999,0.142,0,3,0,3,0,1,0.75,0.543,0,8,1,252,2,0.348215975,0.171,1,1,1
61,2,1,7,0,1,0.794,0.641,0,10,4,257,1,0.542228913,0.261,1,3,6,3,0,0,0.604,0.359,0,9,1,144,2,1.10285325,0.257,1,2,0
62,0,0,1,0,1,0.675,0.251,0,3,0,123,1,0.139188232,0.309,0,5,0,3,1,1,0.875,0.749,0,10,2,368,2,0.43953547750000005,0.09,0,0,2
63,2,1,4,5,2,0.9,0.597,0,7,1,230,1,2.629767103,0.265,1,0,2,3,0,0,0.819,0.403,0,3,0,155,0,0.17012476199999998,0.245,1,1,1
64,4,1,2,0,2,0.835,0.533,0,4,1,284,0,0.303552928,0.155,0,2,2,2,0,0,0.835,0.467,0,9,5,249,1,0.504620667,0.137,2,2,0
65,0,1,1,0,1,0.789,0.459,0,4,1,223,1,0.080459006,0.184,0,4,0,1,0,0,0.837,0.541,0,8,3,263,1,0.653258265,0.183,0,2,0
66,1,1,4,0,1,0.647,0.336,0,7,2,167,1,0.528263323,0.323,1,1,3,4,0,0,0.848,0.664,0,6,1,330,1,0.149626436,0.209,0,1,0
67,2,2,1,0,0,0.737,0.529,0,5,1,228,1,0.224130834,0.25,0,2,1,4,1,2,0.773,0.471,0,4,1,203,0,0.280950565,0.222,0,1,2
68,0,3,2,0,1,0.724,0.417,0,1,0,228,0,0.012779108,0.219,0,3,1,2,1,1,0.781,0.583,0,4,1,319,0,0.284901556,0.21,0,2,2
69,1,0,3,0,0,0.694,0.248,0,4,0,121,1,0.157806384,0.231,2,3,1,1,0,0,0.866,0.752,0,7,3,366,2,0.673742392,0.336,0,1,0
70,1,1,4,1,0,0.798,0.497,1,6,2,233,2,0.44408380199999997,0.112,0,2,2,1,1,1,0.797,0.503,0,5,1,236,1,1.4053633600000002,0.144,0,2,0
71,2,0,4,0,0,0.853,0.405,0,11,2,211,2,0.863378872,0.147,0,4,1,0,0,1,0.89,0.595,0,3,1,310,1,0.105177759,0.119,0,1,0
72,2,1,0,1,1,0.867,0.432,0,8,4,278,1,0.683577827,0.23,0,1,0,3,0,0,0.918,0.568,0,6,1,366,3,0.278799376,0.178,0,1,1
73,4,1,2,0,0,0.698,0.517,0,8,2,252,1,0.29713232999999994,0.175,0,3,2,2,0,0,0.732,0.483,0,7,2,235,1,0.318293689,0.264,0,1,0
74,1,0,2,1,0,0.631,0.348,0,5,2,160,0,0.311130528,0.163,0,3,0,5,1,0,0.773,0.652,0,7,1,300,0,0.619171492,0.163,2,2,0
75,3,0,1,0,0,0.669,0.288,0,1,1,157,0,0.021827467,0.28,1,2,0,1,0,1,0.861,0.712,0,5,0,389,2,0.20614687899999998,0.177,0,0,0
76,1,0,1,1,0,0.808,0.585,0,3,1,245,0,0.13936107799999997,0.229,0,4,1,0,1,2,0.73,0.415,0,7,0,174,4,1.074139502,0.322,0,0,0
77,4,2,2,1,1,0.865,0.643,0,10,2,326,2,1.838685631,0.258,0,0,3,2,1,1,0.773,0.357,0,5,0,181,0,0.6882362669999998,0.315,1,1,0
78,6,1,2,2,0,0.938,0.734,0,8,2,534,3,0.896018422,0.18,0,1,0,1,1,0,0.809,0.266,0,3,0,194,2,0.884940209,0.247,0,1,1
79,5,1,1,0,0,0.818,0.393,0,3,1,209,1,0.067897132,0.34,0,3,1,1,2,0,0.898,0.607,0,11,2,323,2,1.7913808460000002,0.186,0,0,2
80,2,3,6,0,1,0.912,0.647,0,3,0,375,3,0.137827599,0.141,0,3,5,3,0,1,0.849,0.353,0,8,2,205,5,0.5968495819999999,0.268,1,0,0
81,1,1,3,0,1,0.779,0.3,0,2,0,195,1,0.19191765,0.113,1,0,0,2,0,0,0.91,0.7,0,4,0,455,1,0.822413937,0.057,0,2,0
82,4,0,5,1,0,0.906,0.788,0,7,3,427,3,0.82963991,0.173,0,1,1,3,0,0,0.652,0.212,0,2,0,115,0,0.105682527,0.261,2,2,1
83,4,1,3,1,0,0.913,0.649,0,9,2,413,2,0.829475784,0.143,0,0,2,1,1,0,0.843,0.351,0,1,0,223,0,0.044802357,0.251,0,2,0
84,1,3,6,1,0,0.886,0.746,0,6,2,421,2,1.8019854055,0.059,1,3,3,2,1,1,0.727,0.254,0,8,3,143,2,0.90309751,0.105,2,0,0
85,3,0,0,1,1,0.859,0.425,0,4,0,277,2,0.647019102,0.159,2,3,0,2,0,1,0.909,0.575,0,2,0,375,1,0.48663360999999994,0.115,0,1,1
86,3,1,1,0,1,0.83,0.35,0,4,1,182,2,0.14313841,0.121,1,1,1,3,3,0,0.908,0.65,0,7,2,338,0,0.768853879,0.083,0,2,2
